,concept_id,label_ko,label_en,class0,class1,class2,20200701-20200930,20200401-20200630,20200101-20200930,20200101-20200630,20200101-20200331,20190701-20190930,20190401-20190630,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180701-20180930,20180401-20180630,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170701-20170930,20170401-20170630,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160701-20160930,20160401-20160630,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150701-20150930,20150401-20150630,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140701-20140930,20140401-20140630,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130701-20130930,20130401-20130630,20130101-20131231,20130101-20130930,20130101-20130630,20130101-20130331,20120701-20120930,20120401-20120630,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110701-20110930,20110601-20110930,20110401-20110630,20110301-20110630,20110101-20111231,20110101-20110930,20110101-20110630,20110101-20110331,20100601-20100930,20100301-20100630,20100101-20101231,20100101-20100930,20100101-20100630,20100101-20100331,20090601-20090930,20090301-20090630,20090101-20091231,20090101-20090930,20090101-20090630,20090101-20090331,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010101-20011231,20000101-20001231,19990101-19991231
0,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),,66964200000000 ,52966100000000 ,175255000000000 ,108291000000000 ,55325200000000 ,62003500000000 ,56127100000000 ,230401000000000 ,170516000000000 ,108513000000000 ,52385500000000 ,65460000000000 ,58482700000000 ,243771000000000 ,184506000000000 ,119046000000000 ,60563700000000 ,62048900000000 ,61000500000000 ,239575000000000 ,173597000000000 ,111548000000000 ,50547500000000 ,47815600000000 ,50937100000000 ,201867000000000 ,148535000000000 ,100719000000000 ,49782300000000 ,51682600000000 ,48537500000000 ,200653000000000 ,147338000000000 ,95655500000000 ,47117900000000 ,47447300000000 ,52353200000000 ,206206000000000 ,153476000000000 ,106029000000000 ,53675300000000 ,59083500000000 ,57464400000000 ,228693000000000 ,169416000000000 ,110333000000000 ,52868100000000 ,52177300000000 ,47597000000000 ,201104000000000 ,145045000000000 ,92867500000000 ,45270500000000 ,41274000000000 ,41274000000000 ,39438900000000 ,39438900000000 ,165002000000000 ,117698000000000 ,76423900000000 ,36985000000000 ,40229300000000 ,37891900000000 ,154630000000000 ,112759000000000 ,72530000000000 ,34638100000000 ,35893800000000 ,32510500000000 ,136324000000000 ,97075200000000 ,61181400000000 ,28671000000000 ,,,,,,,,,,
1,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,,39970500000000 ,31906200000000 ,106683000000000 ,66712900000000 ,34806700000000 ,39993900000000 ,35944700000000 ,147240000000000 ,108685000000000 ,68691100000000 ,32746500000000 ,35194400000000 ,31274600000000 ,132394000000000 ,98378400000000 ,63184100000000 ,31909500000000 ,33004100000000 ,32399800000000 ,129291000000000 ,93559500000000 ,60555400000000 ,28155600000000 ,29411300000000 ,29609100000000 ,120278000000000 ,89394200000000 ,59983000000000 ,30373900000000 ,31609500000000 ,28955600000000 ,123482000000000 ,89520400000000 ,57911000000000 ,28955400000000 ,30711400000000 ,31671800000000 ,128279000000000 ,94432700000000 ,63721300000000 ,32049500000000 ,35527600000000 ,34341400000000 ,137696000000000 ,101248000000000 ,65720800000000 ,31379400000000 ,31989600000000 ,29971200000000 ,126652000000000 ,92099200000000 ,60109600000000 ,30138400000000 ,27754300000000 ,27754300000000 ,26827100000000 ,26827100000000 ,112145000000000 ,80635800000000 ,52881600000000 ,26054400000000 ,26017000000000 ,24525700000000 ,102667000000000 ,73551300000000 ,47534300000000 ,23008600000000 ,23771500000000 ,22924100000000 ,94594900000000 ,68497200000000 ,44725800000000 ,21801700000000 ,89762400000000 ,70880900000000 ,60055900000000 ,55251700000000 ,52952700000000 ,42252500000000 ,36287500000000 ,32657200000000 ,26939200000000 ,21476400000000 
2,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,,26993700000000 ,21059900000000 ,68572100000000 ,41578400000000 ,20518500000000 ,22009600000000 ,20182400000000 ,83161300000000 ,61831100000000 ,39821500000000 ,19639100000000 ,30265600000000 ,27208100000000 ,111377000000000 ,86127900000000 ,55862300000000 ,28654200000000 ,29044800000000 ,28600700000000 ,110285000000000 ,80037400000000 ,50992600000000 ,22391900000000 ,18404400000000 ,21328000000000 ,81589000000000 ,59140800000000 ,40736400000000 ,19408400000000 ,20073100000000 ,19581900000000 ,77171400000000 ,57817600000000 ,37744500000000 ,18162500000000 ,16735900000000 ,20681400000000 ,77927200000000 ,59043100000000 ,42307200000000 ,21625800000000 ,23555900000000 ,23123000000000 ,90996400000000 ,68167600000000 ,44611800000000 ,21488700000000 ,20187700000000 ,17625800000000 ,74451700000000 ,52945600000000 ,32757900000000 ,15132100000000 ,13519700000000 ,13519700000000 ,12611700000000 ,12611700000000 ,52856700000000 ,37062000000000 ,23542300000000 ,10930600000000 ,14212300000000 ,13366300000000 ,51963500000000 ,39208000000000 ,24995700000000 ,11629500000000 ,12122300000000 ,9586380000000 ,41728800000000 ,28578000000000 ,16455700000000 ,6869300000000 ,31532000000000 ,27626900000000 ,25778700000000 ,25377900000000 ,29010300000000 ,22565000000000 ,22217400000000 ,13786600000000 ,16588600000000 ,10611300000000 
3,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,손익계산서 [abstract],판매비와관리비,,14640400000000 ,12913700000000 ,41625200000000 ,26984800000000 ,14071100000000 ,14231700000000 ,13585400000000 ,55392800000000 ,41222900000000 ,26991200000000 ,13405800000000 ,12690800000000 ,12339000000000 ,52490300000000 ,38041900000000 ,25351100000000 ,13012100000000 ,14511600000000 ,14534200000000 ,56639700000000 ,41539400000000 ,27027700000000 ,12493600000000 ,13204300000000 ,13184100000000 ,52348400000000 ,39120900000000 ,25916600000000 ,12732600000000 ,12679700000000 ,12684000000000 ,50757900000000 ,37546900000000 ,24867200000000 ,12183200000000 ,12675400000000 ,13494100000000 ,52902100000000 ,39306500000000 ,26631100000000 ,13137000000000 ,13392300000000 ,13592300000000 ,54211300000000 ,39693900000000 ,26301600000000 ,12709300000000 ,12126300000000 ,11164200000000 ,45402300000000 ,32733500000000 ,20607200000000 ,9443010000000 ,6799190000000 ,6799190000000 ,6374000000000 ,6374000000000 ,37212400000000 ,18964200000000 ,12165100000000 ,5791050000000 ,7149610000000 ,6355700000000 ,35207000000000 ,19046600000000 ,11897000000000 ,5541300000000 ,6005220000000 ,5291410000000 ,23362100000000 ,16044900000000 ,10039700000000 ,4748280000000 ,25500100000000 ,18653600000000 ,16649700000000 ,17802400000000 ,17249600000000 ,16268700000000 ,13087900000000 ,9835150000000 ,7528230000000 ,5235350000000 
4,dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),손익계산서 [abstract],영업이익(손실),,12353200000000 ,8146290000000 ,26946900000000 ,14593600000000 ,6447350000000 ,7777890000000 ,6597070000000 ,27768500000000 ,20608200000000 ,12830300000000 ,6233280000000 ,17574900000000 ,14869000000000 ,58886700000000 ,48086100000000 ,30511200000000 ,15642200000000 ,14533200000000 ,14066500000000 ,53645000000000 ,38498100000000 ,23964900000000 ,9898360000000 ,5200090000000 ,8143950000000 ,29240700000000 ,20019900000000 ,14819800000000 ,6675810000000 ,7393370000000 ,6897940000000 ,26413400000000 ,20270700000000 ,12877300000000 ,5979370000000 ,4060520000000 ,7187320000000 ,25025100000000 ,19736600000000 ,15676100000000 ,8488800000000 ,10163600000000 ,9530680000000 ,36785000000000 ,28473700000000 ,18310100000000 ,8779460000000 ,8061330000000 ,6461590000000 ,29049300000000 ,20212100000000 ,12150700000000 ,5689130000000 ,4252900000000 ,4252900000000 ,3751880000000 ,3751880000000 ,15644300000000 ,10953300000000 ,6700420000000 ,2948540000000 ,4864410000000 ,5014210000000 ,16756500000000 ,14284200000000 ,9419820000000 ,4405610000000 ,4221850000000 ,2673720000000 ,10925300000000 ,7488580000000 ,3266740000000 ,593021000000 ,6031860000000 ,8973290000000 ,9129030000000 ,7575500000000 ,11760700000000 ,6296230000000 ,9129490000000 ,3951430000000 ,9060340000000 ,5375950000000 
5,dart_OtherGains,기타수익,Other gains,손익계산서 [abstract],기타수익,,495382000000 ,290279000000 ,1101170000000 ,605785000000 ,315506000000 ,496993000000 ,360159000000 ,1778670000000 ,1178930000000 ,681941000000 ,321782000000 ,176612000000 ,367588000000 ,1485040000000 ,915176000000 ,738564000000 ,370976000000 ,375774000000 ,344215000000 ,3010660000000 ,1036410000000 ,660638000000 ,316423000000 ,1083570000000 ,275724000000 ,3238260000000 ,2061890000000 ,978317000000 ,702593000000 ,320297000000 ,649443000000 ,1685950000000 ,1335870000000 ,1015580000000 ,366132000000 ,828296000000 ,587936000000 ,3801360000000 ,3327830000000 ,2499530000000 ,1911600000000 ,419495000000 ,360986000000 ,2429550000000 ,996647000000 ,577152000000 ,216166000000 ,376616000000 ,433594000000 ,1552990000000 ,1137530000000 ,760918000000 ,327324000000 ,,,,,2251020000000 ,,,,,,1651810000000 ,,,,,,,,,,,,,,,,,,,
6,dart_OtherLosses,기타비용,Other losses,손익계산서 [abstract],기타비용,,436883000000 ,1060840000000 ,1861780000000 ,1424890000000 ,364055000000 ,305145000000 ,312883000000 ,1414710000000 ,875159000000 ,570014000000 ,257131000000 ,152354000000 ,222409000000 ,1142020000000 ,620026000000 ,467672000000 ,245263000000 ,278122000000 ,223405000000 ,1419650000000 ,778761000000 ,500639000000 ,277234000000 ,545721000000 ,515453000000 ,2463810000000 ,1399810000000 ,854089000000 ,338636000000 ,404293000000 ,148839000000 ,3723430000000 ,869351000000 ,465058000000 ,316219000000 ,286460000000 ,336141000000 ,2259740000000 ,1572570000000 ,1286110000000 ,949971000000 ,449455000000 ,273207000000 ,1614050000000 ,1037980000000 ,588522000000 ,315315000000 ,313255000000 ,171066000000 ,1576030000000 ,650330000000 ,337075000000 ,166009000000 ,,,,,1612690000000 ,,,,,,1064680000000 ,,,,,,,,,,,,,,,,,,,
7,entity00126380_udf_IS_2017102191515184_IncomeStatementAbstract,지분법이익,Share of profit (loss) of associates and joint ventures accounted for using equity method,손익계산서 [abstract],지분법이익,,225585000000 ,86222000000 ,372451000000 ,146866000000 ,60644000000 ,110499000000 ,64492000000 ,412960000000 ,252672000000 ,142173000000 ,77681000000 ,118455000000 ,106307000000 ,539845000000 ,289126000000 ,170671000000 ,64364000000 ,80423000000 ,22353000000 ,201442000000 ,122114000000 ,41691000000 ,19338000000 ,4975000000 ,4276000000 ,19501000000 ,18398000000 ,13423000000 ,9147000000 ,23694000000 ,34970000000 ,1101930000000 ,113872000000 ,90178000000 ,55208000000 ,2076000000 ,64005000000 ,342516000000 ,96217000000 ,94141000000 ,30136000000 ,149651000000 ,212315000000 ,504063000000 ,539902000000 ,390251000000 ,177936000000 ,132552000000 ,268771000000 ,986611000000 ,768657000000 ,636105000000 ,367334000000 ,292061000000 ,292061000000 ,410659000000 ,410659000000 ,1399190000000 ,1078330000000 ,786267000000 ,375608000000 ,557873000000 ,552879000000 ,2267090000000 ,1572450000000 ,1014570000000 ,461694000000 ,504906000000 ,438113000000 ,1713300000000 ,1271000000000 ,766090000000 ,327977000000 ,1047220000000 ,652500000000 ,551057000000 ,491405000000 ,495620000000 ,246764000000 ,338561000000 ,301473000000 ,180535000000 ,60835378000 
8,ifrs-full_FinanceIncome,금융수익,Finance income,손익계산서 [abstract],금융수익,,2328990000000 ,1769580000000 ,7889950000000 ,5560960000000 ,3791380000000 ,2796370000000 ,3151580000000 ,10161600000000 ,7864490000000 ,5068120000000 ,1916540000000 ,2501150000000 ,3119060000000 ,9999320000000 ,7903410000000 ,5402260000000 ,2283200000000 ,2610850000000 ,1727170000000 ,9737390000000 ,6435180000000 ,3824330000000 ,2097150000000 ,2303770000000 ,1986060000000 ,11385600000000 ,7369760000000 ,5065990000000 ,3079930000000 ,3385630000000 ,2175710000000 ,10514900000000 ,7961000000000 ,4575370000000 ,2399650000000 ,1682600000000 ,2236810000000 ,8259830000000 ,5369690000000 ,3687100000000 ,1450290000000 ,1998540000000 ,2331040000000 ,8014670000000 ,6257210000000 ,4258660000000 ,1927620000000 ,1524420000000 ,2318650000000 ,7836550000000 ,5878480000000 ,4354060000000 ,2035410000000 ,3037840000000 ,3037840000000 ,1489390000000 ,1489390000000 ,7403530000000 ,5679650000000 ,2641810000000 ,1391190000000 ,1905680000000 ,2505210000000 ,7465130000000 ,5754910000000 ,3849220000000 ,1452030000000 ,2141590000000 ,2730620000000 ,9727260000000 ,8415800000000 ,6274210000000 ,3543590000000 ,,,,,,,,,,
9,entity00126380_udf_IS_2017102191643789_IncomeStatementAbstract,금융비용,Finance expense,손익계산서 [abstract],금융비용,,2122210000000 ,1461840000000 ,7078010000000 ,4955810000000 ,3493970000000 ,2255880000000 ,2681050000000 ,8274870000000 ,6316110000000 ,4060220000000 ,1379170000000 ,2249390000000 ,2832750000000 ,8608900000000 ,7021670000000 ,4772290000000 ,1939540000000 ,2407340000000 ,1524620000000 ,8978910000000 ,5821430000000 ,3414080000000 ,1889460000000 ,2075980000000 ,1822600000000 ,10706600000000 ,6904940000000 ,4828960000000 ,3006360000000 ,3328590000000 ,1981200000000 ,10031800000000 ,7575280000000 ,4246700000000 ,2265500000000 ,1440160000000 ,1954820000000 ,7294000000000 ,4676860000000 ,3236700000000 ,1281880000000 ,2042670000000 ,2333990000000 ,7754970000000 ,6117090000000 ,4074420000000 ,1740430000000 ,1479280000000 ,2581470000000 ,7934450000000 ,5963690000000 ,4484400000000 ,1902930000000 ,3450580000000 ,3450580000000 ,1487350000000 ,1487350000000 ,7893420000000 ,6026730000000 ,2576150000000 ,1327570000000 ,1904260000000 ,2758280000000 ,7700100000000 ,5900960000000 ,3996700000000 ,1346430000000 ,2186980000000 ,2863840000000 ,10174200000000 ,8712290000000 ,6525310000000 ,3661460000000 ,,,,,,,,,,
10,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,손익계산서 [abstract],법인세비용차감전순이익(손실),,12844100000000 ,7769700000000 ,27370700000000 ,14526500000000 ,6756850000000 ,8620730000000 ,7179360000000 ,30432200000000 ,22713100000000 ,14092300000000 ,6912980000000 ,17969300000000 ,15406800000000 ,61160000000000 ,49552100000000 ,31582700000000 ,16175900000000 ,14914700000000 ,14412300000000 ,56196000000000 ,39491600000000 ,24576800000000 ,10164600000000 ,5970700000000 ,8071960000000 ,30713700000000 ,21165100000000 ,15194400000000 ,7122490000000 ,7390120000000 ,7628020000000 ,25961000000000 ,21236800000000 ,13846700000000 ,6218640000000 ,4846870000000 ,7785110000000 ,27875000000000 ,22280900000000 ,17434100000000 ,9648970000000 ,10239200000000 ,9827830000000 ,38364300000000 ,29112400000000 ,18873300000000 ,9045440000000 ,8302390000000 ,6730060000000 ,29915000000000 ,21382700000000 ,13080300000000 ,6350270000000 ,4132210000000 ,4132210000000 ,4164590000000 ,4164590000000 ,17191900000000 ,11684600000000 ,7552340000000 ,3387760000000 ,5423710000000 ,5314020000000 ,19375800000000 ,15710600000000 ,10286900000000 ,4972900000000 ,4681360000000 ,2978610000000 ,12191600000000 ,8463090000000 ,3781730000000 ,803126000000 ,6577780000000 ,9632870000000 ,9827650000000 ,8125310000000 ,12376200000000 ,6429560000000 ,9569040000000 ,3834430000000 ,8573100000000 ,4426450000000 
11,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expense,손익계산서 [abstract],법인세비용,,3483410000000 ,2214610000000 ,7569950000000 ,4086540000000 ,1871930000000 ,2333060000000 ,1998790000000 ,8693320000000 ,6201250000000 ,3868180000000 ,1869390000000 ,4818630000000 ,4363420000000 ,16815100000000 ,13669400000000 ,8850790000000 ,4487360000000 ,3721330000000 ,3358410000000 ,14009200000000 ,9559970000000 ,5838640000000 ,2480220000000 ,1432850000000 ,2224570000000 ,7987560000000 ,5527100000000 ,4094250000000 ,1869680000000 ,1931560000000 ,1875730000000 ,6900850000000 ,5400120000000 ,3468560000000 ,1592830000000 ,624526000000 ,1534330000000 ,4480680000000 ,4233380000000 ,3608850000000 ,2074530000000 ,1994420000000 ,2054020000000 ,7889520000000 ,5938930000000 ,3944510000000 ,1890500000000 ,1737460000000 ,1536640000000 ,6069730000000 ,4575900000000 ,2838440000000 ,1301800000000 ,690504000000 ,690504000000 ,658221000000 ,658221000000 ,3432880000000 ,1951750000000 ,1261240000000 ,603021000000 ,968284000000 ,1037100000000 ,3193440000000 ,2984520000000 ,2016240000000 ,979133000000 ,875217000000 ,644086000000 ,2431050000000 ,1740200000000 ,864982000000 ,220896000000 ,687561000000 ,1709890000000 ,1633990000000 ,1218250000000 ,2207290000000 ,1076490000000 ,2244400000000 ,463517000000 ,2409640000000 ,968120000000 
12,ifrs-full_ProfitLossFromContinuingOperations,계속영업이익(손실),Profit (loss) from continuing operations,손익계산서 [abstract],계속영업이익(손실),,9360690000000 ,5555080000000 ,19800700000000 ,10440000000000 ,4884930000000 ,6287660000000 ,5180580000000 ,21738900000000 ,16511800000000 ,10224200000000 ,5043590000000 ,13150700000000 ,11043400000000 ,44344900000000 ,35882700000000 ,22732000000000 ,11688500000000 ,11193400000000 ,11053900000000 ,42186700000000 ,29931600000000 ,18738200000000 ,7684350000000 ,4537860000000 ,5847390000000 ,22726100000000 ,15638100000000 ,11100200000000 ,5252800000000 ,5458560000000 ,5752300000000 ,19060100000000 ,15836700000000 ,10378100000000 ,4625820000000 ,4222350000000 ,6250780000000 ,23394400000000 ,18047600000000 ,13825200000000 ,7574440000000 ,8244740000000 ,7773810000000 ,30474800000000 ,23173500000000 ,14928800000000 ,7154940000000 ,6564930000000 ,5193420000000 ,23845300000000 ,16806800000000 ,10241900000000 ,5048460000000 ,3441710000000 ,3441710000000 ,3506360000000 ,3506360000000 ,13759000000000 ,9732810000000 ,6291100000000 ,2784740000000 ,4455430000000 ,4276920000000 ,16182400000000 ,12726100000000 ,8270690000000 ,3993770000000 ,3806140000000 ,2334520000000 ,9760550000000 ,6722890000000 ,2916750000000 ,582230000000 ,,,,,,,,,,
13,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),손익계산서 [abstract],당기순이익(손실),,9360690000000 ,5555080000000 ,19800700000000 ,10440000000000 ,4884930000000 ,6287660000000 ,5180580000000 ,21738900000000 ,16511800000000 ,10224200000000 ,5043590000000 ,13150700000000 ,11043400000000 ,44344900000000 ,35882700000000 ,22732000000000 ,11688500000000 ,11193400000000 ,11053900000000 ,42186700000000 ,29931600000000 ,18738200000000 ,7684350000000 ,4537860000000 ,5847390000000 ,22726100000000 ,15638100000000 ,11100200000000 ,5252800000000 ,5458560000000 ,5752300000000 ,19060100000000 ,15836700000000 ,10378100000000 ,4625820000000 ,4222350000000 ,6250780000000 ,23394400000000 ,18047600000000 ,13825200000000 ,7574440000000 ,8244740000000 ,7773810000000 ,30474800000000 ,23173500000000 ,14928800000000 ,7154940000000 ,6564930000000 ,5193420000000 ,23845300000000 ,16806800000000 ,10241900000000 ,5048460000000 ,3441710000000 ,,3506360000000 ,,13759000000000 ,9732810000000 ,6291100000000 ,2784740000000 ,,,16182400000000 ,,,,,,9760550000000 ,,,,5890210000000 ,7922980000000 ,8193660000000 ,6907070000000 ,10168900000000 ,5353070000000 ,7324640000000 ,3370910000000 ,6192090000000 ,3185700000000 
14,ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),"Profit (loss), attributable to owners of parent",손익계산서 [abstract],당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),9266810000000 ,5488960000000 ,19645400000000 ,10378600000000 ,4889600000000 ,6105040000000 ,5064530000000 ,21505100000000 ,16277100000000 ,10172000000000 ,5107490000000 ,12967400000000 ,10981500000000 ,43890900000000 ,35560800000000 ,22593400000000 ,11611800000000 ,11039800000000 ,10799900000000 ,41344600000000 ,29328200000000 ,18288500000000 ,7488530000000 ,4408790000000 ,5826180000000 ,22415700000000 ,15498500000000 ,11089700000000 ,5263510000000 ,5306100000000 ,5626730000000 ,18694600000000 ,15452200000000 ,10146100000000 ,4519320000000 ,4135420000000 ,6176510000000 ,23082500000000 ,17796600000000 ,13661200000000 ,7484680000000 ,8049540000000 ,7575020000000 ,29821200000000 ,22601500000000 ,14551900000000 ,6976920000000 ,6424870000000 ,5049040000000 ,23185400000000 ,16334800000000 ,9909940000000 ,4860890000000 ,3300160000000 ,3300160000000 ,3456960000000 ,3456960000000 ,13382600000000 ,9471760000000 ,6171600000000 ,2714650000000 ,4310380000000 ,4172690000000 ,15831700000000 ,12499500000000 ,8189140000000 ,4016440000000 ,3721730000000 ,2275420000000 ,9571600000000 ,6587130000000 ,2865400000000 ,589985000000 ,,,,,,,,,,
15,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익(손실),"Profit (loss), attributable to non-controlling interests",손익계산서 [abstract],당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),93879000000 ,66119000000 ,155325000000 ,61446000000 ,(4673000000),182625000000 ,116046000000 ,233811000000 ,234766000000 ,52141000000 ,(63905000000),183287000000 ,61865000000 ,453980000000 ,321863000000 ,138576000000 ,76711000000 ,153640000000 ,253909000000 ,842178000000 ,603371000000 ,449731000000 ,195822000000 ,129065000000 ,21215000000 ,310437000000 ,139577000000 ,10512000000 ,(10703000000),152455000000 ,125563000000 ,365516000000 ,384510000000 ,232055000000 ,106492000000 ,86923000000 ,74275000000 ,311859000000 ,250959000000 ,164036000000 ,89761000000 ,195199000000 ,198795000000 ,653549000000 ,572017000000 ,376818000000 ,178023000000 ,140055000000 ,144378000000 ,659910000000 ,472000000000 ,331945000000 ,187567000000 ,141553000000 ,141553000000 ,49408000000 ,49408000000 ,376398000000 ,261054000000 ,119501000000 ,70093000000 ,145051000000 ,104223000000 ,350682000000 ,226601000000 ,81550000000 ,(22673000000),84408000000 ,59102000000 ,188952000000 ,135755000000 ,51347000000 ,(7755000000),,,,,,,,,,
16,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],기본주당이익(손실),1364 ,808 ,2892 ,1528 ,720 ,899 ,746 ,3166 ,2396 ,1497 ,752 ,1909 ,1617 ,6461 ,5234 ,3325 ,1709 ,1607 ,1560 ,5997 ,4239 ,2632 ,53656 ,31303 ,40904 ,3159 ,108728 ,77266 ,36356 ,35630 ,37783 ,126305 ,103720 ,68090 ,30311 ,27419 ,40953 ,153105 ,118009 ,90593 ,49640 ,53401 ,50254 ,197841 ,149948 ,96546 ,46291 ,42653 ,33522 ,154020 ,108537 ,65874 ,32341 ,21998 ,21998 ,23018 ,23018 ,89229 ,63159 ,41104 ,17831 ,28842 ,27935 ,106211 ,83920 ,55073 ,27103 ,25218 ,15478 ,64888 ,44786 ,19494 ,4013 ,,,,,,,,,,
17,ifrs-full_DilutedEarningsLossPerShare,희석주당이익(손실),Diluted earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],희석주당이익(손실),1364 ,808 ,2892 ,1528 ,720 ,899 ,746 ,3166 ,2396 ,1497 ,752 ,1909 ,1617 ,6461 ,5234 ,3325 ,1709 ,1607 ,1560 ,5997 ,4239 ,2632 ,53656 ,31303 ,40904 ,3159 ,108728 ,77266 ,36356 ,35629 ,37782 ,126303 ,103718 ,68089 ,30311 ,27418 ,40952 ,153096 ,118000 ,90584 ,49635 ,53384 ,50236 ,197800 ,149891 ,96506 ,46274 ,42623 ,33496 ,153950 ,108463 ,65823 ,32315 ,21968 ,21968 ,22972 ,22972 ,89146 ,63061 ,41020 ,17793 ,28726 ,27816 ,105890 ,83577 ,54838 ,26963 ,25102 ,15345 ,64586 ,44579 ,19335 ,3982 ,,,,,,,,,,
